all_rounder,match_id,home_team,opposition_team,venue,bat_inning,batsman_runs,balls,strike_rate,total_batting_points,bat_fp,total_points,batting_avg_inning_points,batting_avg_venue_points,batting_avg_oppo_points,avg_strike_rate,avg_batsman_runs,bowl_inning,total_bowler_runs,maiden,economy,overs,wickets,bowling_fp,bowl_fp_avg,bowl_opp_avg,bowl_ven_avg,bowl_inn_avg,bowl_run_avg,eco_avg,maiden_avg,wicket_avg,bowl_over_avg,rating
Mandeep Singh,507,Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2,20,14,142.857142857143,16,0,16,14.5714285714286,12.125,8.5,101.699732637327,19.2222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
Mandeep Singh,509,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2,1,3,33.3333333333333,1,0,1,13.9545454545455,20,1,100.213506565501,18.8260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Mandeep Singh,515,Royal Challengers Bangalore,Rajasthan Royals,Maharashtra Cricket Association Stadium,1,54,35,154.285714285714,39,0,39,12.4,39,13.8333333333333,101.363979070187,19.5744680851064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Mandeep Singh,516,Royal Challengers Bangalore,Chennai Super Kings,JSCA International Stadium Complex,1,4,7,57.1428571428571,4,0,4,12.0769230769231,4,12.8333333333333,100.442705696701,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Mandeep Singh,578,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2,24,16,150,11,0,11,13.8260869565217,17.75,3,101.454079049829,19.3469387755102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
Mandeep Singh,581,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadium,1,12,10,120,3,0,3,11.7407407407407,3,4.5,101.824997468833,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
Mandeep Singh,585,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,1,28,34,82.3529411764706,22,0,22,12.1071428571429,18,13,101.443192443492,19.3725490196078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Mandeep Singh,589,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,1,0,1,0,-2,0,-2,11.6206896551724,14.6666666666667,5.66666666666667,99.492361819579,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Mandeep Singh,594,Royal Challengers Bangalore,Rising Pune Supergiant,M Chinnaswamy Stadium,2,0,3,0,-2,0,-2,13.1666666666667,12.2857142857143,-2,97.6151474456247,18.6415094339623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Mandeep Singh,604,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,2,1,3,33.3333333333333,1,0,1,12.68,11,13.625,96.4247434805823,18.3148148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Mandeep Singh,607,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium,1,8,14,57.1428571428571,4,0,4,11.3666666666667,11.25,4,95.7105273653509,18.1272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Mandeep Singh,614,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,1,17,13,130.769230769231,10,0,10,11.3225806451613,9.33333333333333,6.28571428571429,96.3365756404202,18.1071428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
Mandeep Singh,619,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,2,46,40,115,29,0,29,13.3076923076923,13.2222222222222,17,96.6640041379567,18.5964912280702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
Mandeep Singh,622,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,1,52,44,118.181818181818,45,0,45,12.375,16.4,17.1111111111111,97.0350009318164,19.1724137931034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Mandeep Singh,640,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,1,5,2,250,5,0,5,12.1515151515152,10.6666666666667,12.5714285714286,99.6276280346669,18.9322033898305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
Mandeep Singh,642,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,2,33,15,220,28,0,28,13.8518518518519,14.4,18.2,101.633834234089,19.1666666666667,1,18,0,18,1,0,0,0,0,0,0,18,18,0,0,1,9.5
