wicket_keeper_batsman,match_id,role,home_team,opposition_team,venue,inning,batsman_runs,sixes,fours,half_century,century,zeros,balls,strike_rate,rating,catch,Direct_runout,Indirect_runout,Stumping,thirty_run_bonus,half_cen_points,cent_points,zero_points,batting_run_points,batting_strike_points,total_batting_points,fp_points,total_points,avg_oppo_points,avg_venue_points,avg_inning_points,avg_batsman_runs,avg_strike_rate,avg_home_team_points,bound_runs,avg_bound_runs,avg_total_points,avg_balls
KK Nair,612,Batsman,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,11,1,0,0,0,0,10,110,8.5,0,0,0,0,0,0,0,0,8,0,8,0,8,9.66666666666667,14,15.5454545454545,21.9545454545455,106.103106010422,16.2105263157895,6,12.6363636363636,15.5454545454545,18.1818181818182
KK Nair,616,Batsman,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,2,39,2,5,0,0,0,20,195,9.5,0,0,0,0,4,0,0,0,22,6,28,0,28,16.375,21.2222222222222,16.0869565217391,22.3333333333333,108.078592543523,16.8,32,13.0666666666667,15.8222222222222,18.2222222222222
KK Nair,618,Batsman,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,2,12,0,2,0,0,0,12,100,8.5,0,0,0,0,0,0,0,0,6,0,6,0,6,6,19.7,15.6666666666667,22.1086956521739,107.90297096649,16.2857142857143,8,12.9565217391304,15.6086956521739,18.0869565217391
KK Nair,621,Batsman,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,2,21,1,3,0,0,0,15,140,9,0,0,0,0,0,0,0,0,9,2,11,0,11,11.625,18.9090909090909,15.48,22.0851063829787,108.585886477842,16.0454545454545,18,13.063829787234,15.5106382978723,18.0212765957447
KK Nair,626,Batsman,Delhi Daredevils,Gujarat Lions,Green Park,2,30,1,5,0,0,0,15,200,9.5,0,0,0,0,4,0,0,0,16,6,22,0,22,11.3333333333333,22,15.7307692307692,22.25,110.49034717622,16.304347826087,26,13.3333333333333,15.6458333333333,17.9583333333333
KK Nair,628,Batsman,Delhi Daredevils,Rising Pune Supergiant,Feroz Shah Kotla,1,64,0,9,1,0,0,45,142.222222222222,10,0,0,0,0,0,8,0,0,45,2,47,0,47,47,21.25,16.9130434782609,23.1020408163265,111.137936462873,17.5833333333333,36,13.7959183673469,16.2857142857143,18.5102040816327
KK Nair,632,Batsman,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,2,26,0,5,0,0,0,22,118.181818181818,9,0,0,0,0,0,0,0,0,11,0,11,0,11,16,20.4615384615385,15.5555555555556,23.16,111.278814097252,17.32,20,13.92,16.18,18.58
KK Nair,660,Batsman,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,1,5,0,0,0,0,0,6,83.3333333333333,8.5,0,0,0,0,0,0,0,0,5,0,5,0,5,10.8888888888889,11.25,16.4166666666667,22.8039215686274,110.730863494038,5,0,13.6470588235294,15.9607843137255,18.3333333333333
KK Nair,671,Batsman,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,50,2,5,1,0,0,33,151.515151515152,10,0,0,0,0,0,8,0,0,37,4,41,0,41,34.6,23,16.4642857142857,23.3269230769231,111.515176725213,23,32,14,16.4423076923077,18.6153846153846
KK Nair,677,Batsman,Kings XI Punjab,Royal Challengers Bangalore,M.Chinnaswamy Stadium,1,29,0,3,0,0,0,27,107.407407407407,8.5,0,0,0,0,0,0,0,0,20,0,20,0,20,16.4444444444444,10.5,16.56,23.4339622641509,111.437671643745,22,12,13.9622641509434,16.5094339622642,18.7735849056604
